,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,FTR,B365D,B365A,Score,Round,Home_Id,Away_Id
2856,22/09/2019,Fortaleza,Palmeiras,0.0,1.0,A,4.68,3.5,1.87,-0.5,0.0,8,10
2857,22/09/2019,Vasco,Athletico-PR,1.0,1.0,D,2.13,3.32,3.79,0.0,0.0,11,0
2858,22/09/2019,Goias,Fluminense,3.0,0.0,H,2.88,3.39,2.55,1.5,0.0,9,19
2859,24/09/2019,Avai,Atletico-MG,1.0,0.0,H,2.6,3.1,3.05,0.5,0.0,15,5
2860,25/09/2019,Ceara,Cruzeiro,0.0,0.0,D,2.21,3.11,3.82,0.0,0.0,4,14
2861,26/09/2019,Bahia,Botafogo RJ,2.0,0.0,H,1.62,3.92,5.99,1.0,0.0,3,13
2862,26/09/2019,Flamengo RJ,Internacional,3.0,1.0,H,1.6,3.93,6.3,1.0,0.0,12,7
2863,26/09/2019,Sao Paulo,Goias,0.0,1.0,A,1.34,4.92,10.64,-0.5,0.0,2,9
2864,26/09/2019,Palmeiras,CSA,6.0,2.0,H,1.19,7.14,16.76,2.0,0.0,10,18
2865,27/09/2019,Fluminense,Santos,1.0,1.0,D,2.59,3.31,2.88,0.0,0.0,19,1
2866,27/09/2019,Gremio,Avai,6.0,1.0,H,1.34,4.71,12.25,2.5,0.0,6,15
2867,27/09/2019,Athletico-PR,Fortaleza,4.0,1.0,H,1.44,4.65,7.65,1.5,0.0,0,8
2868,28/09/2019,Flamengo RJ,Sao Paulo,0.0,0.0,D,1.68,3.61,6.09,0.0,0.0,12,2
2869,29/09/2019,Corinthians,Vasco,1.0,0.0,H,1.77,3.47,5.46,0.5,0.0,16,11
2870,29/09/2019,Fluminense,Gremio,2.0,1.0,H,2.3,3.31,3.36,0.5,0.0,19,6
2871,29/09/2019,Internacional,Palmeiras,1.0,1.0,D,3.25,3.03,2.52,0.0,0.0,7,10
2872,29/09/2019,Santos,CSA,2.0,0.0,H,1.2,6.85,15.57,1.0,0.0,1,18
2873,29/09/2019,Athletico-PR,Chapecoense-SC,1.0,1.0,D,1.27,5.95,11.32,0.0,0.0,0,17
2874,29/09/2019,Atletico-MG,Ceara,2.0,1.0,H,1.58,3.94,6.47,0.5,0.0,5,4
2875,01/10/2019,Avai,Bahia,0.0,2.0,A,3.19,2.98,2.59,-1.0,0.0,15,3
2876,01/10/2019,Fortaleza,Botafogo RJ,1.0,0.0,H,1.81,3.67,4.74,0.5,0.0,8,13
2877,01/10/2019,Goias,Cruzeiro,1.0,0.0,H,3.09,3.02,2.64,0.5,0.0,9,14
2878,02/10/2019,Atletico-MG,Vasco,1.0,2.0,A,1.81,3.5,5.09,-0.5,0.0,5,11
2879,02/10/2019,Chapecoense-SC,Corinthians,0.0,1.0,A,4.22,3.1,2.1,-0.5,0.0,17,16
2880,05/10/2019,Sao Paulo,Fortaleza,2.0,1.0,H,1.47,4.3,7.9,0.5,0.0,2,8
2881,05/10/2019,Vasco,Santos,0.0,1.0,A,2.58,3.22,2.97,-0.5,0.0,11,1
2882,05/10/2019,Bahia,Athletico-PR,1.0,2.0,A,2.19,3.31,3.61,-0.5,0.0,3,0
2883,05/10/2019,Gremio,Corinthians,0.0,0.0,D,1.76,3.39,5.76,0.0,0.0,6,16
2884,06/10/2019,Cruzeiro,Internacional,1.0,1.0,D,2.66,2.98,3.09,0.0,0.0,14,7
2885,06/10/2019,Chapecoense-SC,Flamengo RJ,0.0,1.0,A,6.19,3.92,1.61,-0.5,0.0,17,12
2886,06/10/2019,Botafogo RJ,Fluminense,0.0,1.0,A,3.03,3.14,2.59,-0.5,0.0,13,19
2887,06/10/2019,Ceara,Goias,0.0,1.0,A,1.61,3.86,6.25,-0.5,0.0,4,9
2888,06/10/2019,Palmeiras,Atletico-MG,1.0,1.0,D,1.41,4.44,9.58,0.0,0.0,10,5
2889,06/10/2019,CSA,Avai,3.0,1.0,H,2.54,2.9,3.38,1.0,0.0,18,15
2890,09/10/2019,Botafogo RJ,Goias,3.0,1.0,H,2.14,3.33,3.74,1.0,0.0,13,9
2891,09/10/2019,CSA,Internacional,1.0,0.0,H,5.3,3.34,1.83,0.5,0.0,18,7
2892,10/10/2019,Fortaleza,Chapecoense-SC,2.0,0.0,H,1.63,3.97,5.77,1.0,0.0,8,17
2893,10/10/2019,Bahia,Sao Paulo,0.0,0.0,D,2.56,2.93,3.29,0.0,0.0,3,2
2894,10/10/2019,Gremio,Ceara,2.0,1.0,H,1.68,3.54,6.17,0.5,0.0,6,4
2895,10/10/2019,Cruzeiro,Fluminense,0.0,0.0,D,1.84,3.48,4.86,0.0,0.0,14,19
